Magic1     Magic2     ID     MetaOffset Rel.Offset DataOffset W    H    Size       Format
----------------------------------------------------------------------
0xc0c26179 0x301600a  0      0x38cf0  0xf660   0x48368  240  320  92409      COMPRESSED
0x0        0x301640a  74     0x393e0  0x3c9aa  0x75da2  20   20   820        RAW
0x0        0x301640a  75     0x393f8  0x3ccde  0x760ee  20   20   820        RAW
0x0        0x301640a  76     0x39410  0x3d012  0x7643a  20   20   820        RAW
0x0        0x301640a  77     0x39428  0x3d346  0x76786  20   20   820        RAW
0x0        0x301640a  78     0x39440  0x3d67a  0x76ad2  4    2    36         RAW
0x0        0x301640a  79     0x39458  0x3d69e  0x76b0e  68   68   3201       COMPRESSED
0x0        0x301640a  80     0x39470  0x3e31f  0x777a7  68   68   3474       COMPRESSED
0x0        0x301640a  81     0x39488  0x3f0b1  0x78551  4    2    36         RAW
0x0        0x301640a  82     0x394a0  0x3f0d5  0x7858d  68   68   3537       COMPRESSED
0x0        0x301640a  83     0x394b8  0x3fea6  0x79376  20   20   522        COMPRESSED
0x0        0x301640a  84     0x394d0  0x400b0  0x79598  68   68   3348       COMPRESSED
0x0        0x301640a  85     0x394e8  0x40dc4  0x7a2c4  68   68   3075       COMPRESSED
0x0        0x301640a  86     0x39500  0x419c7  0x7aedf  4    2    36         RAW
0x0        0x301640a  87     0x39518  0x419eb  0x7af1b  4    2    36         RAW
0x0        0x301640a  88     0x39530  0x41a0f  0x7af57  4    2    36         RAW
0x0        0x301640a  89     0x39548  0x41a33  0x7af93  4    2    36         RAW
0x0        0x301640a  90     0x39560  0x41a57  0x7afcf  4    2    36         RAW
0x0        0x301640a  91     0x39578  0x41a7b  0x7b00b  4    2    36         RAW
0x0        0x301640a  92     0x39590  0x41a9f  0x7b047  4    2    36         RAW
0x0        0x301640a  93     0x395a8  0x41ac3  0x7b083  4    2    36         RAW
0x0        0x301640a  94     0x395c0  0x41ae7  0x7b0bf  4    2    36         RAW
0x0        0x301640a  95     0x395d8  0x41b0b  0x7b0fb  4    2    36         RAW
0x0        0x301640a  96     0x395f0  0x41b2f  0x7b137  20   20   627        COMPRESSED
0x0        0x301640a  97     0x39608  0x41da2  0x7b3c2  20   20   585        COMPRESSED
0x0        0x301640a  98     0x39620  0x41feb  0x7b623  20   20   690        COMPRESSED
0x0        0x301640a  99     0x39638  0x4229d  0x7b8ed  124  124  17236      COMPRESSED
0x0        0x301640a  100    0x39650  0x465f1  0x7fc59  124  124  17152      COMPRESSED
0x0        0x301640a  101    0x39668  0x4a8f1  0x83f71  20   20   543        COMPRESSED
0x0        0x301640a  102    0x39680  0x4ab10  0x841a8  20   20   522        COMPRESSED
0x0        0x301640a  103    0x39698  0x4ad1a  0x843ca  20   20   564        COMPRESSED
0x0        0x301640a  104    0x396b0  0x4af4e  0x84616  20   20   459        COMPRESSED
0x0        0x301640a  105    0x396c8  0x4b119  0x847f9  20   20   396        COMPRESSED
0x0        0x301640a  106    0x396e0  0x4b2a5  0x8499d  20   20   501        COMPRESSED
0x0        0x301640a  107    0x396f8  0x4b49a  0x84baa  20   20   522        COMPRESSED
0x0        0x301640a  108    0x39710  0x4b6a4  0x84dcc  20   20   480        COMPRESSED
0x0        0x301640a  109    0x39728  0x4b884  0x84fc4  20   20   522        COMPRESSED
0x0        0x301640a  110    0x39740  0x4ba8e  0x851e6  4    2    36         RAW
0x0        0x301640a  111    0x39758  0x4bab2  0x85222  4    2    36         RAW
0x0        0x301640a  112    0x39770  0x4bad6  0x8525e  4    2    36         RAW
0x0        0x301640a  113    0x39788  0x4bafa  0x8529a  4    2    36         RAW
0x0        0x301640a  114    0x397a0  0x4bb1e  0x852d6  4    2    36         RAW
0x0        0x301640a  115    0x397b8  0x4bb42  0x85312  4    2    36         RAW
0x0        0x301640a  116    0x397d0  0x4bb66  0x8534e  4    2    36         RAW
0x0        0x301640a  117    0x397e8  0x4bb8a  0x8538a  4    2    36         RAW
0x0        0x301640a  118    0x39800  0x4bbae  0x853c6  4    2    36         RAW
0x0        0x301640a  119    0x39818  0x4bbd2  0x85402  4    2    36         RAW
0x0        0x301640a  120    0x39830  0x4bbf6  0x8543e  4    2    36         RAW
0x0        0x301640a  121    0x39848  0x4bc1a  0x8547a  4    2    36         RAW
0x0        0x301640a  122    0x39860  0x4bc3e  0x854b6  4    2    36         RAW
0x0        0x301640a  123    0x39878  0x4bc62  0x854f2  4    2    36         RAW
0x0        0x301640a  124    0x39890  0x4bc86  0x8552e  4    2    36         RAW
0x0        0x301640a  125    0x398a8  0x4bcaa  0x8556a  4    2    36         RAW
0x0        0x301640a  126    0x398c0  0x4bcce  0x855a6  4    2    36         RAW
0x0        0x301640a  127    0x398d8  0x4bcf2  0x855e2  4    2    36         RAW
0x0        0x301640a  128    0x398f0  0x4bd16  0x8561e  4    2    36         RAW
0x0        0x301640a  129    0x39908  0x4bd3a  0x8565a  4    2    36         RAW
0x0        0x301640a  130    0x39920  0x4bd5e  0x85696  4    2    36         RAW
0x0        0x301640a  131    0x39938  0x4bd82  0x856d2  4    2    36         RAW
0x0        0x301640a  132    0x39950  0x4bda6  0x8570e  4    2    36         RAW
0x0        0x301640a  133    0x39968  0x4bdca  0x8574a  4    2    36         RAW
0x0        0x301640a  134    0x39980  0x4bdee  0x85786  4    2    36         RAW
0x0        0x301640a  135    0x39998  0x4be12  0x857c2  4    2    36         RAW
0x0        0x301640a  136    0x399b0  0x4be36  0x857fe  4    2    36         RAW
0x0        0x301640a  137    0x399c8  0x4be5a  0x8583a  4    2    36         RAW
0x0        0x301640a  138    0x399e0  0x4be7e  0x85876  4    2    36         RAW
0x0        0x301640a  139    0x399f8  0x4bea2  0x858b2  4    2    36         RAW
0x0        0x301640a  140    0x39a10  0x4bec6  0x858ee  4    2    36         RAW
0x0        0x301640a  141    0x39a28  0x4beea  0x8592a  4    2    36         RAW
0x0        0x301640a  142    0x39a40  0x4bf0e  0x85966  4    2    36         RAW
0x0        0x301640a  143    0x39a58  0x4bf32  0x859a2  4    2    36         RAW
0x0        0x301640a  144    0x39a70  0x4bf56  0x859de  96   96   6806       COMPRESSED
0x0        0x301640a  145    0x39a88  0x4d9ec  0x8748c  4    2    36         RAW
0x0        0x301640a  146    0x39aa0  0x4da10  0x874c8  4    2    36         RAW
0x0        0x301640a  147    0x39ab8  0x4da34  0x87504  4    2    36         RAW
0x0        0x301640a  148    0x39ad0  0x4da58  0x87540  4    2    36         RAW
0x0        0x301640a  149    0x39ae8  0x4da7c  0x8757c  4    2    36         RAW
0x0        0x301640a  150    0x39b00  0x4daa0  0x875b8  4    2    36         RAW
0x0        0x301640a  151    0x39b18  0x4dac4  0x875f4  143  30   1302       COMPRESSED
0x0        0x301640a  152    0x39b30  0x4dfda  0x87b22  143  30   1743       COMPRESSED
0x0        0x301640a  153    0x39b48  0x4e6a9  0x88209  143  30   1743       COMPRESSED
0x0        0x301640a  154    0x39b60  0x4ed78  0x888f0  143  30   1869       COMPRESSED
0x0        0x301640a  155    0x39b78  0x4f4c5  0x89055  143  30   1764       COMPRESSED
0x0        0x301640a  156    0x39b90  0x4fba9  0x89751  143  30   1680       COMPRESSED
0x0        0x301640a  157    0x39ba8  0x50239  0x89df9  143  30   1785       COMPRESSED
0x0        0x301640a  158    0x39bc0  0x50932  0x8a50a  143  30   1764       COMPRESSED
0x0        0x301640a  159    0x39bd8  0x51016  0x8ac06  143  30   2058       COMPRESSED
0x0        0x301640a  160    0x39bf0  0x51820  0x8b428  143  30   3108       COMPRESSED
0x0        0x301640a  161    0x39c08  0x52444  0x8c064  143  30   1470       COMPRESSED
0x0        0x301640a  162    0x39c20  0x52a02  0x8c63a  4    2    36         RAW
0x0        0x301640a  163    0x39c38  0x52a26  0x8c676  4    2    36         RAW
0x0        0x301640a  164    0x39c50  0x52a4a  0x8c6b2  4    2    36         RAW
0x0        0x301640a  165    0x39c68  0x52a6e  0x8c6ee  4    2    36         RAW
0x0        0x301640a  166    0x39c80  0x52a92  0x8c72a  4    2    36         RAW
0x0        0x301640a  167    0x39c98  0x52ab6  0x8c766  20   20   585        COMPRESSED
0x0        0x301640a  168    0x39cb0  0x52cff  0x8c9c7  20   21   572        COMPRESSED
0x0        0x301640a  169    0x39cc8  0x52f3b  0x8cc1b  140  140  6306       COMPRESSED
0x0        0x301640a  170    0x39ce0  0x547dd  0x8e4d5  140  140  6474       COMPRESSED
0x0        0x301640a  171    0x39cf8  0x56127  0x8fe37  140  140  5088       COMPRESSED
0x0        0x301640a  172    0x39d10  0x57507  0x9122f  140  140  6348       COMPRESSED
0x0        0x301640a  173    0x39d28  0x58dd3  0x92b13  36   36   1100       COMPRESSED
0x0        0x301640a  174    0x39d40  0x5921f  0x92f77  36   36   1079       COMPRESSED
0x0        0x301640a  175    0x39d58  0x59656  0x933c6  36   36   1037       COMPRESSED
0x0        0x301640a  176    0x39d70  0x59a63  0x937eb  36   36   1016       COMPRESSED
0x0        0x301640a  177    0x39d88  0x59e5b  0x93bfb  36   36   1142       COMPRESSED
0x0        0x301640a  178    0x39da0  0x5a2d1  0x94089  36   36   1121       COMPRESSED
0x0        0x301640a  179    0x39db8  0x5a732  0x94502  18   18   165        COMPRESSED
